t,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
1.92000000e-01,1.82630660e+07,1.70558599e+07,1.59226672e+07,1.48743055e+07,1.39395618e+07,1.31342669e+07,1.24227704e+07,1.17146491e+07,1.09206548e+07,1.00370224e+07,9.17640604e+06,8.47843125e+06,7.94073853e+06,7.34302202e+06,6.42801079e+06,5.23763961e+06,4.15545533e+06,3.33568118e+06,2.23449245e+06,7.31274142e+05
2.00000000e-01,1.89446247e+07,1.77345640e+07,1.65747486e+07,1.54612158e+07,1.44286054e+07,1.35199972e+07,1.27323898e+07,1.19904595e+07,1.11896210e+07,1.02907248e+07,9.38083042e+06,8.60903932e+06,8.01085591e+06,7.39256711e+06,6.47887964e+06,5.26913560e+06,4.14163149e+06,3.29838870e+06,2.21631597e+06,7.28601387e+05
2.08000000e-01,1.96061202e+07,1.83932243e+07,1.72088390e+07,1.60344465e+07,1.49083730e+07,1.38982127e+07,1.30332002e+07,1.22559449e+07,1.14501066e+07,1.05415253e+07,9.58756079e+06,8.74187043e+06,8.07774040e+06,7.43405587e+06,6.52356196e+06,5.30175598e+06,4.13418141e+06,3.26647363e+06,2.20002920e+06,7.26131522e+05
2.16000000e-01,2.02520277e+07,1.90304054e+07,1.78198324e+07,1.65888183e+07,1.53768397e+07,1.42711099e+07,1.33299848e+07,1.25153171e+07,1.17032210e+07,1.07871398e+07,9.79277593e+06,8.87394566e+06,8.14044123e+06,7.46818081e+06,6.56343257e+06,5.33704539e+06,4.13472245e+06,3.24135117e+06,2.18641334e+06,7.24008449e+05
2.24000000e-01,2.08856966e+07,1.96449298e+07,1.84037182e+07,1.71202446e+07,1.58323636e+07,1.46403522e+07,1.36264125e+07,1.27716898e+07,1.19494885e+07,1.10254024e+07,9.99337446e+06,9.00332950e+06,8.19900227e+06,7.49617161e+06,6.59963178e+06,5.37552081e+06,4.14341599e+06,3.22313432e+06,2.17554205e+06,7.22244460e+05
2.32000000e-01,2.15090034e+07,2.02359005e+07,1.89578493e+07,1.76260457e+07,1.62738589e+07,1.50070219e+07,1.39248294e+07,1.30268566e+07,1.21887399e+07,1.12542960e+07,1.01870702e+07,9.12918727e+06,8.25443616e+06,7.51972671e+06,6.63303580e+06,5.41673206e+06,4.15910081e+06,3.21077357e+06,2.16686395e+06,7.20736338e+05
2.40000000e-01,2.21222405e+07,2.08026970e+07,1.94810107e+07,1.81050313e+07,1.67008428e+07,1.53716220e+07,1.42262480e+07,1.32813100e+07,1.24201694e+07,1.14720000e+07,1.03723550e+07,9.25162734e+06,8.30850020e+06,7.54085074e+06,6.66427838e+06,5.45949819e+06,4.17965670e+06,3.20239403e+06,2.15939044e+06,7.19300904e+05
2.48000000e-01,2.27242446e+07,2.13449614e+07,1.99733046e+07,1.85573592e+07,1.71133470e+07,1.57340945e+07,1.45304825e+07,1.35344549e+07,1.26425394e+07,1.16769799e+07,1.05483958e+07,9.37141557e+06,8.36334646e+06,7.56162173e+06,6.69378059e+06,5.50221940e+06,4.20247395e+06,3.19572504e+06,2.15193308e+06,7.17719724e+05
2.56000000e-01,2.33127134e+07,2.18625782e+07,2.04358996e+07,1.89842263e+07,1.75117228e+07,1.60938400e+07,1.48363783e+07,1.37849469e+07,1.28544806e+07,1.18681088e+07,1.07149086e+07,9.48964106e+06,8.42112629e+06,7.58393062e+06,6.72177079e+06,5.54318885e+06,4.22492512e+06,3.18853091e+06,2.14334082e+06,7.15783720e+05
2.64000000e-01,2.38846268e+07,2.23556505e+07,2.08707043e+07,1.93874717e+07,1.78963982e+07,1.64497474e+07,1.51420867e+07,1.40310769e+07,1.30548120e+07,1.20447891e+07,1.08720308e+07,9.60739582e+06,8.48362325e+06,7.60924268e+06,6.74829628e+06,5.58085791e+06,4.24476587e+06,3.17897489e+06,2.13269971e+06,7.13330574e+05
