t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
2.00000000e-01,0.00000000e+00,4.17440749e-23,8.42849910e-23,1.28473201e-22,1.75228528e-22,2.25486012e-22,2.80051986e-22,3.39370154e-22,4.03225404e-22,4.70449385e-22,5.38734012e-22,6.04699889e-22,6.64390820e-22,7.14343902e-22,7.53266690e-22,7.84054409e-22,8.15266971e-22,8.60049060e-22,9.28499583e-22,1.00620635e-21,1.05751063e-21
2.08000000e-01,0.00000000e+00,4.49431790e-23,9.01929868e-23,1.36183687e-22,1.83559252e-22,2.33169629e-22,2.85952498e-22,3.42691386e-22,4.03670426e-22,4.68286585e-22,5.34730593e-22,5.99901831e-22,6.59764438e-22,7.10350289e-22,7.49511535e-22,7.79222419e-22,8.07565237e-22,8.48251770e-22,9.13231873e-22,9.90022557e-22,1.04178628e-21
2.16000000e-01,0.00000000e+00,4.83984000e-23,9.65844514e-23,1.44545500e-22,1.92616946e-22,2.41532231e-22,2.92337392e-22,3.46151234e-22,4.03781609e-22,4.65251657e-22,5.29347790e-22,5.93368696e-22,6.53316635e-22,7.04795112e-22,7.44796042e-22,7.74260402e-22,8.00586340e-22,8.37825297e-22,8.99657206e-22,9.75610651e-22,1.02784750e-21
2.24000000e-01,0.00000000e+00,5.17570409e-23,1.02791411e-22,1.52645191e-22,2.01335429e-22,2.49458039e-22,2.98140914e-22,3.48817011e-22,4.02815804e-22,4.60816022e-22,5.22266673e-22,5.84964193e-22,6.45057240e-22,6.97802174e-22,7.39340718e-22,7.69485630e-22,7.94753829e-22,8.29302990e-22,8.88402536e-22,9.63655527e-22,1.01639717e-21
2.32000000e-01,0.00000000e+00,5.47438996e-23,1.08296792e-22,1.59785865e-22,2.08920074e-22,2.56145120e-22,3.02639452e-22,3.50111656e-22,4.00383479e-22,4.54786364e-22,5.13467839e-22,5.74797572e-22,6.35169378e-22,6.89579841e-22,7.33349700e-22,7.65092929e-22,7.90266698e-22,8.22904930e-22,8.79713965e-22,9.54419439e-22,1.00770142e-21
2.40000000e-01,0.00000000e+00,5.71739008e-23,1.12757929e-22,1.65518325e-22,2.14882331e-22,2.61138696e-22,3.05479401e-22,3.49832929e-22,3.96457481e-22,4.47302896e-22,5.03220748e-22,5.63206822e-22,6.23989962e-22,6.80402194e-22,7.26995321e-22,7.61144384e-22,7.87094801e-22,8.18538686e-22,8.73461751e-22,9.47749726e-22,1.00159834e-21
2.48000000e-01,0.00000000e+00,5.89494992e-23,1.16000520e-22,1.69630066e-22,2.19021974e-22,2.64305038e-22,3.06641787e-22,3.48109007e-22,3.91321286e-22,4.38783434e-22,4.92028048e-22,5.50708440e-22,6.11970164e-22,6.70584768e-22,7.20412249e-22,7.57583173e-22,7.85011741e-22,8.15848833e-22,8.69202673e-22,9.43149275e-22,9.97571181e-22
2.56000000e-01,0.00000000e+00,6.00467535e-23,1.17990666e-22,1.72103194e-22,2.21371074e-22,2.65762243e-22,3.06361509e-22,3.45309011e-22,3.85474934e-22,4.29830128e-22,4.80539415e-22,5.37925078e-22,5.99623199e-22,6.60457622e-22,7.13699134e-22,7.54264721e-22,7.83653955e-22,8.14300163e-22,8.66281752e-22,9.39889872e-22,9.94865689e-22
2.64000000e-01,0.00000000e+00,6.04949504e-23,1.18794528e-22,1.73055025e-22,2.22117030e-22,2.65787976e-22,3.05023003e-22,3.41930882e-22,3.79520533e-22,4.21118954e-22,4.69452059e-22,5.25504217e-22,5.87467729e-22,6.50338684e-22,7.06925029e-22,7.50996794e-22,7.82592469e-22,8.13276651e-22,8.63952043e-22,9.37145040e-22,9.92627368e-22
2.72000000e-01,0.00000000e+00,6.03546618e-23,1.18535152e-22,1.72675069e-22,2.21521893e-22,2.64724070e-22,3.03053898e-22,3.38488730e-22,3.74048757e-22,4.13291565e-22,4.59414567e-22,5.14040596e-22,5.75974881e-22,6.40510040e-22,7.00137709e-22,7.47580275e-22,7.81404044e-22,8.12178628e-22,8.61491671e-22,9.34119516e-22,9.90035202e-22
