t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
2.48000000e-01,0.00000000e+00,3.10666666e-05,1.21756435e-04,2.68362648e-04,4.67118908e-04,7.14141886e-04,1.00558456e-03,1.33793179e-03,1.70821481e-03,2.11391603e-03,2.55255957e-03,3.02131020e-03,3.51700102e-03,4.03663423e-03,4.57779045e-03,5.13829299e-03,5.71537099e-03,6.30554800e-03,6.90566542e-03,7.51311701e-03,8.12448041e-03
2.56000000e-01,0.00000000e+00,3.18798616e-05,1.24877283e-04,2.75112936e-04,4.78698664e-04,7.31668287e-04,1.03008714e-03,1.37031381e-03,1.74922714e-03,2.16417943e-03,2.61261725e-03,3.09165001e-03,3.59801394e-03,4.12855727e-03,4.68072257e-03,5.25229495e-03,5.84054038e-03,6.44197830e-03,7.05337374e-03,7.67207555e-03,8.29467676e-03
2.64000000e-01,0.00000000e+00,3.26726920e-05,1.27901187e-04,2.81617377e-04,4.89812407e-04,7.48457247e-04,1.05355792e-03,1.40136608e-03,1.78860707e-03,2.21248600e-03,2.67035671e-03,3.15927636e-03,3.67590479e-03,4.21695693e-03,4.77974173e-03,5.36199636e-03,5.96101433e-03,6.57331009e-03,7.19557397e-03,7.82511016e-03,8.45852979e-03
2.72000000e-01,0.00000000e+00,3.34397879e-05,1.30813544e-04,2.87856135e-04,5.00441497e-04,7.64494710e-04,1.07598551e-03,1.43107436e-03,1.82633192e-03,2.25880132e-03,2.72573095e-03,3.22413026e-03,3.75060435e-03,4.30175643e-03,4.87476656e-03,5.46731233e-03,6.07670256e-03,6.69944376e-03,7.33215333e-03,7.97209256e-03,8.61589494e-03
2.80000000e-01,0.00000000e+00,3.41758786e-05,1.33600282e-04,2.93810700e-04,5.10569454e-04,7.79769063e-04,1.09736026e-03,1.45942462e-03,1.86237781e-03,2.30308962e-03,2.77869325e-03,3.28615588e-03,3.82204900e-03,4.38288536e-03,4.96572054e-03,5.56816023e-03,6.18751497e-03,6.82027958e-03,7.46300085e-03,8.11289990e-03,8.76663739e-03
2.88000000e-01,0.00000000e+00,3.48762313e-05,1.36249018e-04,2.99465344e-04,5.20183034e-04,7.94271387e-04,1.11767371e-03,1.48640223e-03,1.89671907e-03,2.34531374e-03,2.82919767e-03,3.34530125e-03,3.89018146e-03,4.46028011e-03,5.05253241e-03,5.66446004e-03,6.29336196e-03,6.93571815e-03,7.58800796e-03,8.24741550e-03,8.91063287e-03
2.96000000e-01,0.00000000e+00,3.55369035e-05,1.38749675e-04,3.04807782e-04,5.29272543e-04,8.07995295e-04,1.13691823e-03,1.51199167e-03,1.92932841e-03,2.38543568e-03,2.87719969e-03,3.40151868e-03,3.95495086e-03,4.53388386e-03,5.13513617e-03,5.75613468e-03,6.39415519e-03,7.04566135e-03,7.70706937e-03,8.37552927e-03,9.04776760e-03
3.04000000e-01,0.00000000e+00,3.61548275e-05,1.41094623e-04,3.09829172e-04,5.37831543e-04,8.20936441e-04,1.15508663e-03,1.53617671e-03,1.96017763e-03,2.42341759e-03,2.92265699e-03,3.45476493e-03,4.01631231e-03,4.60364593e-03,5.21347086e-03,5.84311049e-03,6.48980874e-03,7.15001375e-03,7.82008404e-03,8.49713798e-03,9.17793754e-03
3.12000000e-01,0.00000000e+00,3.67277719e-05,1.43278481e-04,3.14523640e-04,5.45856142e-04,8.33091856e-04,1.17217197e-03,1.55894088e-03,1.98923874e-03,2.45922299e-03,2.96553015e-03,3.50500114e-03,4.07422616e-03,4.66952090e-03,5.28748015e-03,5.92531780e-03,6.58024044e-03,7.24868416e-03,7.92695640e-03,8.61214537e-03,9.30104735e-03
3.20000000e-01,0.00000000e+00,3.72542316e-05,1.45297732e-04,3.18887580e-04,5.53344133e-04,8.44459261e-04,1.18816742e-03,1.58026815e-03,2.01648516e-03,2.49281804e-03,3.00578339e-03,3.55219264e-03,4.12865714e-03,4.73146769e-03,5.35711205e-03,6.00269148e-03,6.66537329e-03,7.34158736e-03,8.02759746e-03,8.72046224e-03,9.41700907e-03
3.28000000e-01,0.00000000e+00,3.77332955e-05,1.47150294e-04,3.22918926e-04,5.60294165e-04,8.55036489e-04,1.20306628e-03,1.60014357e-03,2.04189289e-03,2.52417263e-03,3.04338508e-03,3.59630866e-03,4.17957347e-03,4.78944865e-03,5.42231859e-03,6.07517163e-03,6.74513682e-03,7.42864554e-03,8.12192583e-03,8.82200650e-03,9.52574105e-03
3.36000000e-01,0.00000000e+00,3.81645262e-05,1.48835141e-04,3.26616560e-04,5.66705110e-04,8.64821079e-04,1.21686202e-03,1.61855391e-03,2.06544143e-03,2.55326125e-03,3.07830809e-03,3.63732211e-03,4.22694626e-03,4.84342904e-03,5.48305580e-03,6.14270416e-03,6.81946822e-03,7.50978960e-03,8.20986860e-03,8.91670325e-03,9.62716714e-03
3.44000000e-01,0.00000000e+00,3.85478746e-05,1.50352056e-04,3.29979923e-04,5.72575686e-04,8.73810074e-04,1.22954843e-03,1.63548807e-03,2.08711435e-03,2.58006347e-03,3.11053008e-03,3.67520947e-03,4.27074916e-03,4.89337675e-03,5.53928373e-03,6.20524129e-03,6.88831317e-03,7.58496000e-03,8.29136201e-03,9.00448506e-03,9.72121646e-03
3.52000000e-01,0.00000000e+00,3.88836317e-05,1.51701498e-04,3.33008861e-04,5.77904339e-04,8.82000029e-04,1.24111971e-03,1.65093734e-03,2.10689963e-03,2.60456422e-03,3.14003352e-03,3.70995074e-03,4.31095839e-03,4.93926244e-03,5.59096683e-03,6.26274203e-03,6.95162629e-03,7.65410725e-03,8.36635179e-03,9.08529228e-03,9.80782370e-03
3.60000000e-01,0.00000000e+00,3.91724148e-05,1.52884591e-04,3.35703660e-04,5.82689369e-04,8.89387183e-04,1.25157067e-03,1.66489544e-03,2.12478955e-03,2.62675363e-03,3.16680574e-03,3.74152965e-03,4.34755307e-03,4.98106000e-03,5.63807434e-03,6.31517246e-03,7.00937137e-03,7.71719195e-03,8.43479344e-03,9.15907355e-03,9.88692992e-03
3.68000000e-01,0.00000000e+00,3.94151709e-05,1.53903178e-04,3.38065209e-04,5.86929203e-04,8.95967747e-04,1.26089686e-03,1.67735847e-03,2.14078047e-03,2.64662678e-03,3.19083876e-03,3.76993382e-03,4.38051574e-03,5.01874724e-03,5.68058089e-03,6.36250597e-03,7.06152121e-03,7.77418465e-03,8.49665224e-03,9.22578638e-03,9.95848382e-03
3.76000000e-01,0.00000000e+00,3.96131834e-05,1.54759888e-04,3.40095212e-04,5.90622750e-04,9.01738284e-04,1.26909479e-03,1.68832479e-03,2.15487244e-03,2.66418329e-03,3.21212920e-03,3.79515510e-03,4.40983311e-03,5.05230672e-03,5.71846708e-03,6.40472345e-03,7.10805735e-03,7.82506540e-03,8.55190318e-03,9.28539772e-03,1.00224431e-02
3.84000000e-01,0.00000000e+00,3.97680647e-05,1.55458184e-04,3.41796381e-04,5.93769757e-04,9.06696090e-04,1.27616208e-03,1.69779486e-03,2.16706873e-03,2.67942683e-03,3.23067804e-03,3.81718988e-03,4.43549673e-03,5.08172661e-03,5.75172015e-03,6.44181335e-03,7.14896978e-03,7.86982336e-03,8.60053084e-03,9.33788460e-03,1.00787761e-02
3.92000000e-01,0.00000000e+00,3.98817231e-05,1.56002330e-04,3.43172530e-04,5.96371099e-04,9.10839575e-04,1.28209775e-03,1.70577115e-03,2.17737547e-03,2.69236465e-03,3.24649047e-03,3.83603928e-03,4.45750371e-03,5.10700150e-03,5.78033450e-03,6.47377186e-03,7.18425660e-03,7.90845631e-03,8.64252929e-03,9.38323466e-03,1.01274628e-02
4.00000000e-01,0.00000000e+00,3.99562999e-05,1.56397285e-04,3.44228568e-04,5.98428960e-04,9.14168578e-04,1.28690244e-03,1.71225815e-03,2.18580137e-03,2.70300726e-03,3.25957563e-03,3.85170939e-03,4.47585716e-03,5.12813301e-03,5.80431217e-03,6.50060298e-03,7.21392378e-03,7.94097038e-03,8.67790205e-03,9.42144660e-03,1.01684964e-02
4.08000000e-01,0.00000000e+00,3.99940780e-05,1.56648501e-04,3.44970350e-04,5.99946891e-04,9.16684617e-04,1.29057869e-03,1.71726248e-03,2.19235755e-03,2.71136807e-03,3.26994650e-03,3.86421130e-03,4.49056662e-03,5.14513027e-03,5.82366325e-03,6.52231867e-03,7.23798512e-03,7.96737987e-03,8.70666201e-03,9.45253052e-03,1.02018836e-02
4.16000000e-01,0.00000000e+00,3.99973694e-05,1.56761672e-04,3.45404430e-04,6.00929752e-04,9.18391045e-04,1.29313116e-03,1.72079299e-03,2.19705752e-03,2.71746335e-03,3.27761972e-03,3.87356113e-03,4.50164814e-03,5.15801016e-03,5.83840606e-03,6.53893900e-03,7.25646228e-03,7.98770727e-03,8.72883161e-03,9.47650817e-03,1.02276452e-02
4.24000000e-01,0.00000000e+00,3.99683944e-05,1.56742431e-04,3.45537750e-04,6.01383560e-04,9.19293138e-04,1.29456692e-03,1.72286101e-03,2.19991728e-03,2.72131211e-03,3.28261557e-03,3.87977998e-03,4.50912435e-03,5.16679741e-03,5.84856728e-03,6.55049226e-03,7.26938488e-03,8.00198344e-03,8.74444290e-03,9.49341301e-03,1.02458163e-02
4.32000000e-01,0.00000000e+00,3.99091667e-05,1.56596070e-04,3.45377307e-04,6.01315292e-04,9.19398100e-04,1.29489552e-03,1.72348054e-03,2.20095549e-03,2.72293622e-03,3.28495791e-03,3.88289385e-03,4.51302433e-03,5.17152442e-03,5.85418196e-03,6.55701511e-03,7.27679083e-03,8.01024784e-03,8.75353781e-03,9.50329030e-03,1.02564458e-02
4.40000000e-01,0.00000000e+00,3.98213986e-05,1.56327288e-04,3.44929858e-04,6.00732676e-04,9.18715027e-04,1.29412921e-03,1.72266847e-03,2.20019361e-03,2.72236053e-03,3.28467423e-03,3.88293359e-03,4.51338342e-03,5.17223116e-03,5.85529334e-03,6.55855264e-03,7.27872653e-03,8.01254894e-03,8.75616834e-03,9.50619706e-03,1.02595966e-02
4.48000000e-01,0.00000000e+00,3.97064372e-05,1.55940031e-04,3.44201707e-04,5.99644021e-04,9.17254831e-04,1.29228286e-03,1.72044462e-03,2.19765606e-03,2.71961301e-03,3.28179575e-03,3.87993481e-03,4.51024303e-03,5.16896482e-03,5.85195275e-03,6.55515839e-03,7.27524714e-03,8.00894452e-03,8.75239682e-03,9.50220195e-03,1.02553443e-02
4.56000000e-01,0.00000000e+00,3.95652375e-05,1.55437412e-04,3.43198593e-04,5.98058101e-04,9.15030151e-04,1.28937402e-03,1.71683183e-03,2.19337038e-03,2.71472491e-03,3.27635755e-03,3.87393790e-03,4.50365049e-03,5.16177956e-03,5.84421933e-03,6.54689437e-03,7.26641685e-03,7.99950202e-03,8.74229611e-03,9.49138522e-03,1.02437776e-02
4.64000000e-01,0.00000000e+00,3.93983755e-05,1.54821737e-04,3.41925711e-04,5.95984125e-04,9.12055262e-04,1.28542272e-03,1.71185587e-03,2.18736720e-03,2.70773091e-03,3.26839870e-03,3.86498807e-03,4.49365881e-03,5.15073623e-03,5.83215977e-03,6.53383095e-03,7.25230898e-03,7.98429880e-03,8.72594974e-03,9.47383858e-03,1.02249971e-02
4.72000000e-01,0.00000000e+00,3.92060963e-05,1.54094627e-04,3.40387822e-04,5.93431777e-04,9.08345991e-04,1.28045136e-03,1.70554526e-03,2.17968021e-03,2.69866921e-03,3.25796245e-03,3.85313541e-03,4.48032670e-03,5.13590207e-03,5.81584805e-03,6.51604675e-03,7.23300606e-03,7.96342232e-03,8.70345209e-03,9.44966507e-03,1.01991155e-02
4.80000000e-01,0.00000000e+00,3.89883893e-05,1.53257204e-04,3.38589478e-04,5.90411314e-04,9.03919640e-04,1.27448444e-03,1.69793107e-03,2.17034610e-03,2.68758157e-03,3.24509632e-03,3.83843501e-03,4.46371840e-03,5.11735055e-03,5.79536519e-03,6.49362845e-03,7.20859982e-03,7.93697023e-03,8.67490835e-03,9.41897897e-03,1.01662567e-02
4.88000000e-01,0.00000000e+00,3.87450817e-05,1.52310322e-04,3.36535276e-04,5.86933716e-04,8.98794927e-04,1.26754841e-03,1.68904666e-03,2.15940434e-03,2.67451335e-03,3.22985227e-03,3.82094703e-03,4.44390372e-03,5.09516118e-03,5.77079898e-03,6.46667061e-03,7.17919107e-03,7.90505032e-03,8.64043456e-03,9.38190564e-03,1.01265558e-02
4.96000000e-01,0.00000000e+00,3.84759367e-05,1.51254821e-04,3.34230141e-04,5.83010831e-04,8.92991925e-04,1.25967136e-03,1.67892740e-03,2.14689703e-03,2.65951344e-03,3.21228677e-03,3.80073681e-03,4.42095802e-03,5.06941934e-03,5.74224382e-03,6.43527544e-03,7.14488961e-03,7.86778044e-03,8.60015747e-03,9.33858140e-03,1.00801591e-02
5.04000000e-01,0.00000000e+00,3.81807464e-05,1.50091750e-04,3.31679591e-04,5.78655522e-04,8.86532003e-04,1.25088284e-03,1.66761040e-03,2.13286872e-03,2.64263422e-03,3.19246078e-03,3.77787487e-03,4.39496213e-03,5.04021619e-03,5.70980043e-03,6.39955261e-03,7.10581395e-03,7.82528835e-03,8.55421440e-03,9.28915335e-03,1.00272235e-02
5.12000000e-01,0.00000000e+00,3.78594108e-05,1.48822568e-04,3.28889937e-04,5.73881762e-04,8.79437772e-04,1.24121371e-03,1.65513435e-03,2.11736625e-03,2.62393149e-03,3.17043979e-03,3.75243695e-03,4.36600234e-03,5.00764854e-03,5.67357577e-03,6.35961900e-03,7.06209113e-03,7.77771143e-03,8.50275300e-03,9.23377920e-03,9.96791671e-03
5.20000000e-01,0.00000000e+00,3.75119964e-05,1.47449274e-04,3.25868427e-04,5.68704687e-04,8.71733016e-04,1.23069596e-03,1.64153930e-03,2.10043861e-03,2.60346433e-03,3.14629368e-03,3.72450383e-03,4.33417027e-03,4.97181870e-03,5.63368284e-03,6.31559855e-03,7.01385643e-03,7.72519644e-03,8.44593101e-03,9.17262704e-03,9.90241682e-03
5.28000000e-01,0.00000000e+00,3.71387708e-05,1.45974487e-04,3.22623300e-04,5.63140584e-04,8.63442617e-04,1.21936262e-03,1.62686667e-03,2.08213690e-03,2.58129507e-03,3.12009662e-03,3.69416125e-03,4.29956275e-03,4.93283440e-03,5.59024052e-03,6.26762202e-03,6.96125317e-03,7.66789917e-03,8.38391590e-03,9.10587507e-03,9.83091232e-03
5.36000000e-01,0.00000000e+00,3.67402158e-05,1.44401457e-04,3.19163766e-04,5.57206824e-04,8.54592480e-04,1.20724772e-03,1.61115913e-03,2.06251425e-03,2.55748908e-03,3.09192684e-03,3.66149966e-03,4.26228156e-03,4.89080859e-03,5.54337350e-03,6.21582684e-03,6.90443234e-03,7.60598412e-03,8.31688456e-03,9.03371132e-03,9.75360183e-03
5.44000000e-01,0.00000000e+00,3.63170191e-05,1.42734028e-04,3.15499923e-04,5.50921755e-04,8.45209440e-04,1.19438629e-03,1.59446067e-03,2.04162579e-03,2.53211475e-03,3.06186643e-03,3.62661391e-03,4.22243329e-03,4.84585935e-03,5.49321214e-03,6.16035693e-03,6.84355242e-03,7.53962411e-03,8.24502283e-03,8.95633330e-03,9.67069389e-03
